,Title,Average Rating,Director,Writer,Metascore,Cast,Release Date,Country of Origin,Languages,Budget,Worldwide Gross,Runtime
163,The Station Agent,7.6,Tom McCarthy,Tom McCarthy,81.0,"Peter Dinklage, Patricia Clarkson, Bobby Cannavale, Paul Benjamin, Jase Blankfort, Paula Garcés, Josh Pais, Richard Kind, Lynn Cohen, Raven Goodwin, Marla Sucharetza, Michelle Williams, Jayce Bartok, Joe Lo Truglio, John Slattery, Maile Flanagan, Sarah Bolger, Ileen Getz","December 5, 2003 (United States)",United States,"English, Spanish","$500,000 (estimated)","$8,701,337",1 hour 29 minutes
164,Repulsion,7.6,Roman Polanski,"Roman Polanski, Gérard Brach, David Stone",91.0,"Catherine Deneuve, Ian Hendry, John Fraser, Yvonne Furneaux, Patrick Wymark, Renee Houston, Valerie Taylor, James Villiers, Helen Fraser, Hugh Futcher, Monica Merlin, Imogen Graham, Mike Pratt, Lewis Alexander, Tony Allen, Joe Beckett, Hercules Bellville, Wallace Bosco","July 7, 1965 (West Germany)",United Kingdom,English,"$300,000 (estimated)","$33,174",1 hour 45 minutes
165,Seconds,7.6,John Frankenheimer,"Lewis John Carlino, David Ely",71.0,"Rock Hudson, Frank Campanella, John Randolph, Frances Reid, Barbara Werle, Edgar Stehli, Aaron Magidow, Dee Dee Young, Françoise Bush, Murray Hamilton, Thom Conroy, Jeff Corey, Will Geer, Richard Anderson, Khigh Dhiegh, John D. Lawrence, Wesley Addy, Salome Jens","October 2, 1966 (United States)",United States,English,,$165,1 hour 46 minutes
166,The Shootist,7.6,Don Siegel,"Glendon Swarthout, Miles Hood Swarthout, Scott Hale",77.0,"John Wayne, Lauren Bacall, Ron Howard, James Stewart, Richard Boone, Hugh O'Brian, Bill McKinney, Harry Morgan, John Carradine, Sheree North, Rick Lenz, Scatman Crothers, Gregg Palmer, Alfred Dennis, Dick Winslow, Melody Thomas Scott, Kathleen O'Malley, Jack Berle","July 21, 1976 (United States)",United States,English,,"$8,091,910",1 hour 40 minutes
167,The Return,7.6,Pedro Almodóvar,Pedro Almodóvar,84.0,"Penélope Cruz, Carmen Maura, Lola Dueñas, Blanca Portillo, Yohana Cobo, Chus Lampreave, Antonio de la Torre, Carlos Blanco, María Isabel Díaz Lago, Neus Sanz, Leandro Rivera, Pepa Aniorte, Yolanda Ramos, Elvira Cuadrupani, María Alfonsa Rosso, Fanny de Castro, Eli Iranzo, Carlos García Cambero","March 17, 2006 (Spain)",Spain,Spanish,"€7,450,000 (estimated)","$85,605,851",2 hours 1 minute
168,Vampire Hunter D: Bloodlust,7.6,Yoshiaki Kawajiri,"Hideyuki Kikuchi, Yoshiaki Kawajiri",62.0,"Andrew Philpot, John Rafter Lee, Pamela Adlon, Wendee Lee, Michael McShane, Julia Fletcher, Matt McKenzie, John DiMaggio, Alex Fernandez, Jack Fletcher, John Hostetter, Dwight Schultz, Mary Elizabeth McGlynn, John DeMita, Debi Derryberry, Takeshi Aono, Keiji Fujiwara, Megumi Hayashibara","October 31, 2000 (Hong Kong)","Japan, Hong Kong, United States","Japanese, English",,"$152,239",1 hour 43 minutes
169,The Little Prince,7.6,Mark Osborne,"Irena Brignull, Bob Persichetti, Antoine de Saint-Exupéry",70.0,"Jeff Bridges, Mackenzie Foy, Rachel McAdams, Marion Cotillard, Riley Osborne, James Franco, Bud Cort, Benicio Del Toro, Ricky Gervais, Albert Brooks, Paul Rudd, Paul Giamatti, Jeffy Branion, Jacquie Barnbrook, Marcel Bridges, André Dussollier, Florence Foresti, Vincent Cassel","July 29, 2015 (France)","France, Canada, Italy, United States, China",English,"$81,200,000 (estimated)","$97,571,250",1 hour 48 minutes
170,Weekend,7.6,Andrew Haigh,Andrew Haigh,81.0,"Tom Cullen, Chris New, Jonathan Race, Laura Freeman, Loreto Murray, Jonathan Wright, Sarah Churm, Jermaine Liburd, Joe Doherty, Kieran Hardcastle, Mark Devenport, Steve Blackman, Julius Metson Scott, Martin Arrowsmith, Caroline Woolley, Caroline Cawley, Candy Richardz","November 4, 2011 (United Kingdom)",United Kingdom,English,"£120,000 (estimated)","$1,192,003",1 hour 37 minutes
171,25th Hour,7.6,Spike Lee,David Benioff,69.0,"Edward Norton, Barry Pepper, Philip Seymour Hoffman, Rosario Dawson, Anna Paquin, Brian Cox, Tony Siragusa, Levani, Misha Kuznetsov, Isiah Whitlock Jr., Michael Genet, Patrice O'Neal, Al Palagonia, Aaron Stanford, Marc H. Simon, Armando Riesco, Brad Williams, Bear","January 10, 2003 (United States)",United States,English,"$5,000,000 (estimated)","$23,936,003",2 hours 15 minutes
172,Leave Her to Heaven,7.6,John M. Stahl,"Jo Swerling, Ben Ames Williams",,"Gene Tierney, Cornel Wilde, Jeanne Crain, Vincent Price, Mary Philips, Ray Collins, Gene Lockhart, Reed Hadley, Darryl Hickman, Chill Wills, Gertrude Astor, Guy Beach, Audrey Betz, Olive Blakeney, Ruth Clifford, Harry Depp, Paul Everton, Jim Farley",January 1946 (United States),United States,English,,$617,1 hour 50 minutes
173,United 93,7.6,Paul Greengrass,Paul Greengrass,90.0,"David Alan Basche, Olivia Thirlby, Liza Colón-Zayas, J.J. Johnson, Gary Commock, Polly Adams, Opal Alladin, Starla Benford, Trish Gates, Nancy McDoniel, Richard Bekins, Susan Blommaert, Ray Charleson, Christian Clemenson, Lorna Dallas, Denny Dillon, Trieste Kelly Dunn, Kate Jennings Grant","April 28, 2006 (United States)","United States, United Kingdom, France","English, Arabic, German","$15,000,000 (estimated)","$76,700,659",1 hour 51 minutes
174,The Wave,7.6,Dennis Gansel,"Ron Jones, Johnny Dawkins, Ron Birnbach",,"Jürgen Vogel, Frederick Lau, Max Riemelt, Jennifer Ulrich, Christiane Paul, Jacob Matschenz, Cristina do Rego, Elyas M'Barek, Maximilian Vollmar, Max Mauff, Ferdinand Schmidt-Modrow, Tim Oliver Schultz, Amelie Kiefer, Fabian Preger, Odine Johne, Tino Mewes, Karoline Teska, Marco Bretscher-Coschignano","March 13, 2008 (Germany)","Germany, France",German,"€5,000,000 (estimated)","$32,350,637",1 hour 47 minutes
175,The Social Dilemma,7.6,Jeff Orlowski-Yang,"Vickie Curtis, Davis Coombe, Jeff Orlowski-Yang",78.0,"Tristan Harris, Jeff Seibert, Bailey Richardson, Joe Toscano, Sandy Parakilas, Guillaume Chaslot, Lynn Fox, Aza Raskin, Alex Roetter, Tim Kendall, Justin Rosenstein, Randy Fernando, Jaron Lanier, Roger McNamee, Shoshana Zuboff, Anna Lembke, James Fetter, Mary Fetter","September 9, 2020 (India)",United States,English,,,1 hour 34 minutes
176,Vera Drake,7.6,Mike Leigh,Mike Leigh,83.0,"Imelda Staunton, Jim Broadbent, Heather Craney, Richard Graham, Eddie Marsan, Anna Keaveney, Alex Kelly, Daniel Mays, Phil Davis, Lesley Manville, Sally Hawkins, Simon Chandler, Sam Troughton, Marion Bailey, Sandra Voe, Chris O'Dowd, Adrian Scarborough, Sinead Matthews","January 7, 2005 (United Kingdom)","United Kingdom, France, United States",English,"$11,000,000 (estimated)","$13,267,869",2 hours 5 minutes
177,Häxan: Witchcraft Through the Ages,7.6,Benjamin Christensen,Benjamin Christensen,,"Benjamin Christensen, Elisabeth Christensen, Maren Pedersen, Clara Pontoppidan, Elith Pio, Oscar Stribolt, Tora Teje, John Andersen, Poul Reumert, Karen Winther, Kate Fabian, Else Vermehren, Astrid Holm, Johannes Andersen, Gerda Madsen, Aage Hertel, Ib Schønberg, Emmy Schønfeld","September 18, 1922 (Sweden)","Sweden, Denmark","Swedish, Danish","SEK 2,000,000 (estimated)",,1 hour 31 minutes
178,Frost/Nixon,7.6,Ron Howard,Peter Morgan,80.0,"Frank Langella, Michael Sheen, Kevin Bacon, Sam Rockwell, Matthew Macfadyen, Oliver Platt, Rebecca Hall, Toby Jones, Andy Milder, Kate Jennings Grant, Gabriel Jarret, Jim Meskimen, Patty McCormack, Geoffrey Blake, Clint Howard, Rance Howard, Gavin Grazer, Simon James","January 23, 2009 (United Kingdom)","United Kingdom, France, United States",English,"$25,000,000 (estimated)","$27,426,335",2 hours 2 minutes
179,The Prime of Miss Jean Brodie,7.6,Ronald Neame,"Muriel Spark, Jay Presson Allen",,"Maggie Smith, Gordon Jackson, Robert Stephens, Pamela Franklin, Celia Johnson, Diane Grayson, Jane Carr, Shirley Steedman, Lavinia Lang, Antoinette Biggerstaff, Margo Cunningham, Isla Cameron, Rona Anderson, Ann Way, Molly Weir, Helena Gloag, John Dunbar, Heather Seymour","February 25, 1969 (United Kingdom)",United Kingdom,"English, Latin, French, Italian",,$82,1 hour 56 minutes
180,Kamera Wo Tomeruna!,7.6,Shin'ichirô Ueda,"Shin'ichirô Ueda, Ryoichi Wada",86.0,"Takayuki Hamatsu, Yuzuki Akiyama, Harumi Shuhama, Kazuaki Nagaya, Manabu Hosoi, Hiroshi Ichihara, Mao, Shuntarô Yamazaki, Shin'ichirô Ôsawa, Yoshiko Takehara, Miki Yoshida, Ayana Gôda, Sakina Asamori, Tomokazu Yamaguchi, Takuya Fujimura, Satoshi Iwagô, Kyôko Takahashi, Shiori Nukumi","June 23, 2018 (Japan)",Japan,Japanese,"¥3,000,000 (estimated)","$27,590,180",1 hour 36 minutes
181,Only Angels Have Wings,7.6,Howard Hawks,"Jules Furthman, Howard Hawks, Eleanore Griffin",86.0,"Cary Grant, Jean Arthur, Rita Hayworth, Richard Barthelmess, Thomas Mitchell, Allyn Joslyn, Sig Ruman, Victor Kilian, John Carroll, Don 'Red' Barry, Noah Beery Jr., Manuel Álvarez Maciste, Milisa Sierra, Lucio Villegas, Pat Flaherty, Pedro Regas, Pat West, Enrique Acosta","May 25, 1939 (United States)",United States,"English, Spanish",,"$8,554",2 hours 1 minute
182,Winchester '73,7.6,Anthony Mann,"Robert L. Richards, Borden Chase, Stuart N. Lake",83.0,"James Stewart, Shelley Winters, Dan Duryea, Stephen McNally, Millard Mitchell, Charles Drake, John McIntire, Will Geer, Jay C. Flippen, Rock Hudson, John Alexander, Steve Brodie, James Millican, Abner Biberman, Tony Curtis, James Best, Victor Adamson, Robert Anderson","July 12, 1950 (United States)",United States,English,,,1 hour 32 minutes
183,Nran Guyne,7.6,Sergei Parajanov,"Sayat Nova, Sergei Parajanov",,"Sofiko Chiaureli, Melkon Alekyan, Vilen Galstyan, Gogi Gegechkori, Spartak Bagashvili, Medea Japaridze, Hovhannes Minasyan, Onik Minasyan, Yuri Amiryan, I. Babayan, Medea Bibileishvili, T. Dvali, Aleksandr Dzhanshiyev, Guranda Gabunia, Zh. Gharibyan, L. Karamyan, G. Margaryan, G. Matsukatov","January 27, 1982 (France)",Soviet Union,"Armenian, Azerbaijani, Georgian",,,1 hour 19 minutes
184,Control,7.6,Anton Corbijn,"Deborah Curtis, Matt Greenhalgh",78.0,"Sam Riley, Samantha Morton, Craig Parkinson, Alexandra Maria Lara, Joe Anderson, James Anthony Pearson, Harry Treadaway, Toby Kebbell, Andrew Sheridan, Robert Shelly, Richard Bremmer, Tanya Myers, Martha Myers Lowe, Matthew McNulty, David Whittington, Margaret Jackman, Mary Jo Randle, Ben Naylor","September 26, 2007 (France)","United Kingdom, France, Australia, Japan, United States",English,"€4,500,000 (estimated)","$8,159,508",2 hours 2 minutes
185,Mustang,7.6,Deniz Gamze Ergüven,"Deniz Gamze Ergüven, Alice Winocour",83.0,"Günes Sensoy, Doga Zeynep Doguslu, Tugba Sunguroglu, Elit Iscan, Ilayda Akdogan, Nihal G. Koldas, Ayberk Pekcan, Bahar Kerimoglu, Burak Yigit, Erol Afsin, Suzanne Marrot, Serife Kara, Aynur Komecoglu, Sevval Aydin, Enes Sürüm, Aziz Komecoglu, Serpil Reis, Rukiye Sariahmet","June 17, 2015 (France)","France, Germany, Turkey, Qatar",Turkish,"€1,300,000 (estimated)","$5,274,664",1 hour 37 minutes
186,Three Colors: White,7.6,Krzysztof Kieslowski,"Krzysztof Kieslowski, Krzysztof Piesiewicz, Agnieszka Holland",91.0,"Zbigniew Zamachowski, Julie Delpy, Janusz Gajos, Jerzy Stuhr, Aleksander Bardini, Grzegorz Warchol, Cezary Harasimowicz, Jerzy Nowak, Jerzy Trela, Cezary Pazura, Michel Lisowski, Philippe Morier-Genoud, Piotr Machalica, Francis Coffinet, Barbara Dziekan, Yannick Evely, Marzena Trybala, Jacques Disses","January 26, 1994 (France)","Switzerland, France, Poland","Polish, French, English",,"$1,266,582",1 hour 32 minutes
187,Shine,7.6,Scott Hicks,"Jan Sardi, Scott Hicks",87.0,"Geoffrey Rush, Armin Mueller-Stahl, Justin Braine, Sonia Todd, Chris Haywood, Alex Rafalowicz, Gordon Poole, Nicholas Bell, Danielle Cox, Rebecca Gooden, Marta Kaczmarek, John Cousins, Noah Taylor, Paul Linkson, Randall Berger, Ian Welbourne, Kelly Bottrill, Beverley Vaughan","August 15, 1996 (Australia)",Australia,"English, Yiddish","$5,500,000 (estimated)","$35,999,121",1 hour 45 minutes
188,McCabe & Mrs. Miller,7.6,Robert Altman,"Edmund Naughton, Robert Altman, Brian McKay",93.0,"Warren Beatty, Julie Christie, Rene Auberjonois, William Devane, John Schuck, Corey Fischer, Bert Remsen, Shelley Duvall, Keith Carradine, Michael Murphy, Antony Holland, Hugh Millais, Manfred Schulz, Jace Van Der Veen, Jackie Crossland, Elizabeth Murphy, Carey Lee McKenzie, Thomas Hill","July 8, 1971 (Canada)",United States,"English, Cantonese",,"$31,558",2 hours
189,The Taming of the Scoundrel,7.6,"Franco Castellano, Giuseppe Moccia","Franco Castellano, Giuseppe Moccia, William Shakespeare",,"Adriano Celentano, Ornella Muti, Edith Peters, Pippo Santonastaso, Milly Carlucci, Sandro Ghiani, Nicola De Buono, Enzo De Toma, Jimmy il Fenomeno, Elena Mari, Angelo Mainardi, Guido Spadea, Marco Columbro, Gianna Coletti, Massimo Mirani, Victor Poletti, Giuseppe Santobuono, Luigi Uva","December 20, 1980 (Italy)",Italy,Italian,,,1 hour 47 minutes
190,The Odd Couple,7.6,Gene Saks,Neil Simon,86.0,"Jack Lemmon, Walter Matthau, John Fiedler, Herb Edelman, David Sheiner, Larry Haines, Monica Evans, Carole Shelley, Iris Adrian, Matty Alou, Bill Baldwin, Al Barlick, John C. Becher, Ted Beniades, Billie Bird, Patricia D. Bohannon, Ken Boyer, Heywood Hale Broun","May 16, 1968 (United States)",United States,English,"$1,200,000 (estimated)","$44,527,234",1 hour 45 minutes
191,3:10 to Yuma,7.6,Delmer Daves,"Halsted Welles, Elmore Leonard",80.0,"Glenn Ford, Van Heflin, Felicia Farr, Leora Dana, Henry Jones, Richard Jaeckel, Robert Emhardt, Sheridan Comerate, George Mitchell, Robert Ellenstein, Ford Rainey, Dorothy Adams, Jimmie Booth, Danny Borzage, John Cason, Woodrow Chambliss, Barry Curtis, Richard Devon","August 7, 1957 (United States)",United States,English,,,1 hour 32 minutes
192,"To Sir, with Love",7.6,James Clavell,"E.R. Braithwaite, James Clavell",55.0,"Sidney Poitier, Judy Geeson, Christian Roberts, Suzy Kendall, Ann Bell, Geoffrey Bayldon, Faith Brook, Patricia Routledge, Christopher Chittell, Adrienne Posta, Edward Burnham, Rita Webb, Fiona Duncan, Fred Griffiths, Mona Bruce, Marianne Stone, Dervis Ward, Peter Attard","October 27, 1967 (United Kingdom)",United Kingdom,English,"$640,000 (estimated)",$642,1 hour 45 minutes
193,When Marnie Was There,7.6,Hiromasa Yonebayashi,"Joan G. Robinson, Keiko Niwa, Masashi Andô",72.0,"Sara Takatsuki, Kasumi Arimura, Nanako Matsushima, Susumu Terajima, Toshie Negishi, Ryôko Moriyama, Kazuko Yoshiyuki, Hitomi Kuroki, Yûko Kaida, Hiroyuki Morisaki, Takuma Otoo, Hana Sugisaki, Shigeyuki Totsugi, Ken Yasuda, Yô Ôizumi, Hailee Steinfeld, Kiernan Shipka, Grey Griffin","September 10, 2024 (India)",Japan,Japanese,,"$35,012,681",1 hour 43 minutes
194,The Narrow Margin,7.6,"Richard Fleischer, William Cameron Menzies","Earl Felton, Martin Goldsmith, Jack Leonard",,"Charles McGraw, Marie Windsor, Jacqueline White, Gordon Gebert, Queenie Leonard, David Clarke, Peter Virgo, Don Beddoe, Paul Maxey, Harry Harvey, Peter Brocco, Ivan Browning, George Chandler, James Conaty, Don Dillaway, Franklyn Farnum, Bess Flowers, Don Haggerty","June 27, 1952 (Canada)",United States,English,"$188,000 (estimated)",,1 hour 11 minutes
195,少年的你,7.6,Derek Tsang,"Wing-Sum Lam, Yuan Li, Yimeng Xu",83.0,"Dongyu Zhou, Jackson Yee, Fang Yin, Ye Zhou, Yue Wu, Jue Huang, Yifan Zhang, Yao Zhang, Xinyi Zhang, Runnan Zhao, Xuanming Gao, Xintong Xie, Ran Liu, Lüyun Heliao, Bozhan Ju, Yingming Wang, Weilong Li, Zhongyu Guo","October 25, 2019 (China)","China, Hong Kong, United Kingdom","Mandarin, English",,"$227,313,644",2 hours 15 minutes
196,Leviafan,7.6,Andrey Zvyagintsev,"Oleg Negin, Andrey Zvyagintsev",92.0,"Aleksey Serebryakov, Elena Lyadova, Roman Madyanov, Vladimir Vdovichenkov, Anna Ukolova, Aleksey Rozin, Sergey Pokhodaev, Platon Kamenev, Sergey Bachurskiy, Valeriy Grishko, Alla Emintseva, Margarita Shubina, Dmitriy Bykovskiy-Romashov, Sergey Borisov, Igor Savochkin, Igor Sergeev, Konstantin Telegin, Olga Lapshina","February 5, 2015 (Russia)",Russia,Russian,,"$4,439,481",2 hours 20 minutes
197,Boy A,7.6,John Crowley,"Mark O'Rowe, Jonathan Trigell",75.0,"Andrew Garfield, Peter Mullan, Shaun Evans, Siobhan Finneran, Alfie Owen, Victoria Brazier, Skye Bennett, Madeleine Rakic-Platt, Josef Altin, Dudley Brewis, Leigh Symonds, Maria Gough, Taylor Doherty, Jeremy Swift, Carlene Hanson, Katie Lyons, James Young, Anthony Lewis","September 4, 2008 (Singapore)",United Kingdom,English,,"$1,202,375",1 hour 46 minutes
198,The Swimmer,7.6,"Frank Perry, Sydney Pollack","Eleanor Perry, John Cheever",,"Burt Lancaster, Janet Landgard, Janice Rule, Tony Bickley, Marge Champion, Nancy Cushman, Bill Fiore, David Garfield, Kim Hunter, Rose Gregorio, Charles Drake, Bernie Hamilton, House Jameson, Jimmy Joyce, Michael Kearney, Richard McMurray, Jan Miner, Diana Muldaur","August 9, 1968 (Finland)",United States,English,,,1 hour 35 minutes
199,Empty Running,7.6,Sidney Lumet,Naomi Foner,67.0,"River Phoenix, Christine Lahti, Judd Hirsch, Jonas Abry, Martha Plimpton, Ed Crowley, L.M. Kit Carson, Steven Hill, Augusta Dabney, David Margulies, Lynne Thigpen, Marcia Jean Kurtz, Sloane Shelton, Justine Johnston, Herb Lovelle, Bobo Lewis, Ronnie Gilbert, Leila Danette","September 9, 1988 (United States)",United States,English,"$7,000,000 (estimated)","$2,847,941",1 hour 56 minutes
200,Victor/Victoria,7.6,Blake Edwards,"Blake Edwards, Hans Hoemburg, Reinhold Schünzel",84.0,"Julie Andrews, James Garner, Robert Preston, Lesley Ann Warren, Alex Karras, John Rhys-Davies, Graham Stark, Peter Arne, Herb Tanney, Michael Robbins, Norman Chancer, David Gant, Maria Charles, Malcolm Jamieson, John Cassady, Mike Tezcan, Christopher Good, Matyelok Gibbs","March 19, 1982 (United States)","United Kingdom, United States","English, French",,"$28,229,440",2 hours 14 minutes
201,The 39 Steps,7.6,Alfred Hitchcock,"John Buchan, Charles Bennett, Ian Hay",93.0,"Robert Donat, Madeleine Carroll, Lucie Mannheim, Godfrey Tearle, Peggy Ashcroft, John Laurie, Helen Haye, Frank Cellier, Wylie Watson, Gus McNaughton, Jerry Verno, Peggy Simpson, Ivor Barnard, Charles Bennett, Noel Birkin, Ex-Det. Sergt. Bishop, Wallace Bosco, Matthew Boulton","November 18, 1935 (United Kingdom)",United Kingdom,English,"£50,000 (estimated)","$52,623",1 hour 26 minutes
202,Three Identical Strangers,7.6,Tim Wardle,"Grace Hughes-Hallett, Tim Wardle",81.0,"Robert Shafran, Michael Domnitz, Howard Schneider, Ellen Cervone, Alan Luchs, David Kellman, Hedy Page, Alice Shafran, Elliott Galland, Eddy Galland, Richard Kellman, Justine Wise Polier, Mort Shafran, Ilene Shafran, Janet Kellman, Brenda Galland, Lawrence Wright, Natasha Josefowitz","November 30, 2018 (United Kingdom)","United Kingdom, United States",English,,"$13,448,497",1 hour 36 minutes
203,Conte d'été,7.6,Éric Rohmer,Éric Rohmer,91.0,"Melvil Poupaud, Amanda Langlet, Gwenaëlle Simon, Aurelia Nolin, Aimé Lefèvre, Alain Guellaff, Evelyne Lahana, Yves Guérin, Franck Cabot-David","June 5, 1996 (France)",France,French,,"$198,706",1 hour 53 minutes
204,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,7.6,Haruo Sotozaki,Koyoharu Gotouge,,"Zach Aguilar, Laila Berzins, Kira Buckland, Reba Buhr, Griffin Burns, Christine Marie Cabanos, Ray Chase, Greg Chun, Amber Lee Connors, Robbie Daymond, Lucien Dodge, Yuri Ehara, Stephen Fu, Makoto Furukawa, Toshio Furukawa, Natsuki Hanae, Kana Hanazawa, Kazuhiko Inoue","March 17, 2023 (India)",Japan,Japanese,,"$56,319,794",1 hour 50 minutes
205,"Argentina, 1985",7.6,Santiago Mitre,"Santiago Mitre, Mariano Llinás, Martín Mauregui",78.0,"Ricardo Darín, Gina Mastronicola, Francisco Bertín, Santiago Armas Estevarena, Alejandra Flechner, Paula Ransenberg, Gabriel Martín Fernández, Ricardo Truppel, Ignacio Francavilla, Walter Jakob, Carlos Portaluppi, Alejo García Pintos, Pablo Moseinco, Pablo Caramelo, Mariano Speratti, Norman Briski, Guillermo Jacubowicz, Martin Gallo","October 21, 2022 (India)","Argentina, United Kingdom, United States","Spanish, English",,"$905,893",2 hours 20 minutes
